city,year,yearcount,weekofyear,total_cases
sj,1990,0,41,33
sj,1990,0,42,43
sj,1990,0,43,37
sj,1990,0,44,57
sj,1990,0,45,71
sj,1990,0,46,44
sj,1990,0,47,56
sj,1990,0,48,53
sj,1990,0,49,52
sj,1990,0,50,47
sj,1990,0,51,26
sj,1990,0,52,27
sj,1991,0,1,21
sj,1991,0,2,21
sj,1991,0,3,26
sj,1991,0,4,34
sj,1991,0,5,37
sj,1991,0,6,17
sj,1991,0,7,19
sj,1991,0,8,25
sj,1991,0,9,18
sj,1991,0,10,21
sj,1991,0,11,17
sj,1991,0,12,17
sj,1991,0,13,16
sj,1991,0,14,16
sj,1991,0,15,15
sj,1991,0,16,23
sj,1991,0,17,16
sj,1991,1,18,17
sj,1991,1,19,12
sj,1991,1,20,17
sj,1991,1,21,10
sj,1991,1,22,15
sj,1991,1,23,19
sj,1991,1,24,21
sj,1991,1,25,14
sj,1991,1,26,18
sj,1991,1,27,13
sj,1991,1,28,14
sj,1991,1,29,18
sj,1991,1,30,23
sj,1991,1,31,25
sj,1991,1,32,62
sj,1991,1,33,60
sj,1991,1,34,76
sj,1991,1,35,66
sj,1991,1,36,64
sj,1991,1,37,68
sj,1991,1,38,89
sj,1991,1,39,92
sj,1991,1,40,140
sj,1991,1,41,116
sj,1991,1,42,142
sj,1991,1,43,129
sj,1991,1,44,140
sj,1991,1,45,140
sj,1991,1,46,127
sj,1991,1,47,129
sj,1991,1,48,169
sj,1991,1,49,141
sj,1991,1,50,108
sj,1991,1,51,78
sj,1991,1,52,70
sj,1992,1,1,81
sj,1992,1,2,104
sj,1992,1,3,90
sj,1992,1,4,85
sj,1992,1,5,55
sj,1992,1,6,53
sj,1992,1,7,65
sj,1992,1,8,33
sj,1992,1,9,38
sj,1992,1,10,59
sj,1992,1,11,40
sj,1992,1,12,37
sj,1992,1,13,29
sj,1992,1,14,30
sj,1992,1,15,30
sj,1992,1,16,28
sj,1992,1,17,23
sj,1992,2,18,24
sj,1992,2,19,29
sj,1992,2,20,26
sj,1992,2,21,23
sj,1992,2,22,20
sj,1992,2,23,19
sj,1992,2,24,20
sj,1992,2,25,26
sj,1992,2,26,29
sj,1992,2,27,31
sj,1992,2,28,28
sj,1992,2,29,26
sj,1992,2,30,32
sj,1992,2,31,35
sj,1992,2,32,33
sj,1992,2,33,30
sj,1992,2,34,52
sj,1992,2,35,59
sj,1992,2,36,67
sj,1992,2,37,65
sj,1992,2,38,74
sj,1992,2,39,70
sj,1992,2,40,61
sj,1992,2,41,53
sj,1992,2,42,76
sj,1992,2,43,61
sj,1992,2,44,57
sj,1992,2,45,44
sj,1992,2,46,34
sj,1992,2,47,47
sj,1992,2,48,60
sj,1992,2,49,60
sj,1992,2,50,53
sj,1992,2,51,36
sj,1992,2,52,31
sj,1993,2,53,30
sj,1993,2,1,32
sj,1993,2,2,28
sj,1993,2,3,33
sj,1993,2,4,33
sj,1993,2,5,35
sj,1993,2,6,22
sj,1993,2,7,13
sj,1993,2,8,13
sj,1993,2,9,21
sj,1993,2,10,17
sj,1993,2,11,11
sj,1993,2,12,8
sj,1993,2,13,8
sj,1993,2,14,6
sj,1993,2,15,6
sj,1993,2,16,7
sj,1993,2,17,12
sj,1993,3,18,17
sj,1993,3,19,10
sj,1993,3,20,10
sj,1993,3,21,18
sj,1993,3,22,19
sj,1993,3,23,12
sj,1993,3,24,22
sj,1993,3,25,12
sj,1993,3,26,21
sj,1993,3,27,18
sj,1993,3,28,16
sj,1993,3,29,16
sj,1993,3,30,22
sj,1993,3,31,17
sj,1993,3,32,25
sj,1993,3,33,23
sj,1993,3,34,12
sj,1993,3,35,25
sj,1993,3,36,28
sj,1993,3,37,27
sj,1993,3,38,18
sj,1993,3,39,23
sj,1993,3,40,23
sj,1993,3,41,29
sj,1993,3,42,38
sj,1993,3,43,36
sj,1993,3,44,43
sj,1993,3,45,46
sj,1993,3,46,31
sj,1993,3,47,25
sj,1993,3,48,40
sj,1993,3,49,31
sj,1993,3,50,38
sj,1993,3,51,30
sj,1994,3,52,22
sj,1994,3,1,31
sj,1994,3,2,26
sj,1994,3,3,35
sj,1994,3,4,36
sj,1994,3,5,39
sj,1994,3,6,25
sj,1994,3,7,31
sj,1994,3,8,37
sj,1994,3,9,33
sj,1994,3,10,25
sj,1994,3,11,24
sj,1994,3,12,18
sj,1994,3,13,23
sj,1994,3,14,13
sj,1994,3,15,18
sj,1994,3,16,14
sj,1994,3,17,17
sj,1994,4,18,22
sj,1994,4,19,13
sj,1994,4,20,24
sj,1994,4,21,31
sj,1994,4,22,34
