city,year,yearcount,weekofyear,week_start_date,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,total_cases,outbreak_severity,cum_rain_prior_2_wks,cum_rain_prior_3_wks,cum_rain_prior_4_wks,cum_rain_prior_5_wks,cum_rain_prior_6_wks,cum_rain_prior_7_wks,cum_rain_prior_8_wks,cum_rain_prior_9_wks,cum_rain_prior_10_wks,cum_rain_prior_11_wks,cum_rain_prior_12_wks,cum_rain_prior_13_wks,cum_rain_prior_14_wks,cum_rain_prior_15_wks,cum_rain_prior_16_wks,cum_rain_prior_17_wks,cum_rain_prior_18_wks,cum_rain_prior_19_wks,cum_rain_prior_20_wks,cum_rain_prior_21_wks,cum_rain_prior_22_wks,cum_rain_prior_23_wks,cum_rain_prior_24_wks,avg_min_temp_prior_2_wks,avg_min_temp_prior_3_wks,avg_min_temp_prior_4_wks,avg_min_temp_prior_5_wks,avg_min_temp_prior_6_wks,avg_min_temp_prior_7_wks,avg_min_temp_prior_8_wks,avg_min_temp_prior_9_wks,avg_min_temp_prior_10_wks,avg_min_temp_prior_11_wks,avg_min_temp_prior_12_wks,avg_min_temp_prior_13_wks,avg_min_temp_prior_14_wks,avg_min_temp_prior_15_wks,avg_min_temp_prior_16_wks,avg_min_temp_prior_17_wks,avg_min_temp_prior_18_wks,avg_min_temp_prior_19_wks,avg_min_temp_prior_20_wks,avg_min_temp_prior_21_wks,avg_min_temp_prior_22_wks,avg_min_temp_prior_23_wks,avg_min_temp_prior_24_wks,avg_max_temp_prior_2_wks,avg_max_temp_prior_3_wks,avg_max_temp_prior_4_wks,avg_max_temp_prior_5_wks,avg_max_temp_prior_6_wks,avg_max_temp_prior_7_wks,avg_max_temp_prior_8_wks,avg_max_temp_prior_9_wks,avg_max_temp_prior_10_wks,avg_max_temp_prior_11_wks,avg_max_temp_prior_12_wks,avg_max_temp_prior_13_wks,avg_max_temp_prior_14_wks,avg_max_temp_prior_15_wks,avg_max_temp_prior_16_wks,avg_max_temp_prior_17_wks,avg_max_temp_prior_18_wks,avg_max_temp_prior_19_wks,avg_max_temp_prior_20_wks,avg_max_temp_prior_21_wks,avg_max_temp_prior_22_wks,avg_max_temp_prior_23_wks,avg_max_temp_prior_24_wks,avg_specific_humidity_prior_2_wks,avg_specific_humidity_prior_3_wks,avg_specific_humidity_prior_4_wks,avg_specific_humidity_prior_5_wks,avg_specific_humidity_prior_6_wks,avg_specific_humidity_prior_7_wks,avg_specific_humidity_prior_8_wks,avg_specific_humidity_prior_9_wks,avg_specific_humidity_prior_10_wks,avg_specific_humidity_prior_11_wks,avg_specific_humidity_prior_12_wks,avg_specific_humidity_prior_13_wks,avg_specific_humidity_prior_14_wks,avg_specific_humidity_prior_15_wks,avg_specific_humidity_prior_16_wks,avg_specific_humidity_prior_17_wks,avg_specific_humidity_prior_18_wks,avg_specific_humidity_prior_19_wks,avg_specific_humidity_prior_20_wks,avg_specific_humidity_prior_21_wks,avg_specific_humidity_prior_22_wks,avg_specific_humidity_prior_23_wks,avg_specific_humidity_prior_24_wks,avg_relative_humidity_prior_2_wks,avg_relative_humidity_prior_3_wks,avg_relative_humidity_prior_4_wks,avg_relative_humidity_prior_5_wks,avg_relative_humidity_prior_6_wks,avg_relative_humidity_prior_7_wks,avg_relative_humidity_prior_8_wks,avg_relative_humidity_prior_9_wks,avg_relative_humidity_prior_10_wks,avg_relative_humidity_prior_11_wks,avg_relative_humidity_prior_12_wks,avg_relative_humidity_prior_13_wks,avg_relative_humidity_prior_14_wks,avg_relative_humidity_prior_15_wks,avg_relative_humidity_prior_16_wks,avg_relative_humidity_prior_17_wks,avg_relative_humidity_prior_18_wks,avg_relative_humidity_prior_19_wks,avg_relative_humidity_prior_20_wks,avg_relative_humidity_prior_21_wks,avg_relative_humidity_prior_22_wks,avg_relative_humidity_prior_23_wks,avg_relative_humidity_prior_24_wks,avg_total_cases_2_wks,cum_total_cases_2_wks
sj,1990,0,41,10/8/1990,0.17115,0.06755,0.1794667,0.1577167,51.42,299.8571429,299.9428571,296.9285714,301.8,298.1,132.4,84.11,51.42,18.51285714,2.571428571,28.62857143,7.314285714,33.3,24.4,57.7,33,0,82.6,133.99,277.72,342.28,371.14,412.08,444.48,535.23,564.03,596.69,613.17,672.34,694.61,709.02,728.34,879.46,882.94,892.52,900.04,915.4,949.94,972.76,985.18,24.15,24.23333333,24.15,24.2,24.05,24.1,24,23.86666667,23.81,23.71818182,23.64166667,23.66153846,23.52142857,23.58,23.53125,23.48823529,23.47777778,23.5,23.52,23.50952381,23.47727273,23.42173913,23.27916667,33.3,33.13333333,33.05,33.22,33.15,33.01428571,33.05,33.02222222,33.05,33.17272727,33.05,33.03076923,32.93571429,33,33.05625,33.10588235,33.05555556,33.12631579,33.22,33.22380952,33.17727273,33.11304348,32.95833333,18.34642857,18.05380952,18.01357143,18.16628571,18.06523809,18.12959184,18.13517857,18.17746032,18.15471429,18.10376623,18.04023809,18.01692308,17.97418367,17.98066667,17.96875,17.9692437,17.9284127,17.89075188,17.85671429,17.80034014,17.75707792,17.65341615,17.50172619,81.315,79.89285714,80.32892857,80.57342857,80.00666667,80.48408163,80.54196429,80.94603175,80.81642857,80.79532468,80.79095238,80.89505494,80.93591837,80.95895238,81.07205357,81.20756303,81.2515873,81.18,81.144,81.10557823,81.14863636,80.98428571,80.66684524,37.5,75
sj,1990,0,42,10/15/1990,0.158675,0.0702,0.1816167,0.16575,143.55,299.1957143,299.3071429,296.5442857,301.5,297.5,279.6,85.62142857,143.55,18.11571429,1.871428571,27.62857143,7.4,32.8,23.3,61.8,43,0,194.97,226.15,277.54,421.27,485.83,514.69,555.63,588.03,678.78,707.58,740.24,756.72,815.89,838.16,852.57,871.89,1023.01,1026.49,1036.07,1043.59,1058.95,1093.49,1116.31,23.85,23.86666667,24,23.98,24.05,23.94285714,24,23.92222222,23.81,23.76363636,23.68333333,23.61538462,23.63571429,23.50666667,23.5625,23.51764706,23.47777778,23.46842105,23.49,23.50952381,23.5,23.46956522,23.41666667,33.05,33.13333333,33.05,33,33.15,33.1,32.9875,33.02222222,33,33.02727273,33.14166667,33.03076923,33.01428571,32.92666667,32.9875,33.04117647,33.08888889,33.04210526,33.11,33.2,33.20454545,33.16086957,33.1,18.31428572,18.26952381,18.06928571,18.034,18.15785714,18.07244898,18.12785714,18.13301587,18.17128571,18.15116883,18.1047619,18.04604396,18.02397959,17.98361905,17.98910714,17.97739496,17.97738095,17.93827068,17.902,17.86904762,17.81467532,17.77267081,17.67267857,84.86571429,82.75047619,81.325,81.38742857,81.4147619,80.80877551,81.12625,81.10634921,81.41357143,81.25324675,81.1975,81.16252747,81.23265306,81.24828571,81.25035714,81.33966387,81.45277778,81.48157895,81.40207143,81.35721088,81.31084416,81.34310559,81.1775,38,76
sj,1990,0,43,10/22/1990,0.1462,0.08975,0.1288286,0.1239286,127.03,298.9028571,299.0428571,296.2571429,300.9,297.2,94.52,85.50285714,127.03,17.75,1.8,26.77142857,7.628571429,32.2,21.7,91.5,37,0,270.58,322,353.18,404.57,548.3,612.86,641.72,682.66,715.06,805.81,834.61,867.27,883.75,942.92,965.19,979.6,998.92,1150.04,1153.52,1163.1,1170.62,1185.98,1220.52,22.5,23.13333333,23.325,23.54,23.6,23.71428571,23.6625,23.74444444,23.7,23.61818182,23.59166667,23.53076923,23.47857143,23.50666667,23.39375,23.45294118,23.41666667,23.38421053,23.38,23.4047619,23.42727273,23.42173913,23.39583333,32.5,32.76666667,32.9,32.88,32.86666667,33.01428571,32.9875,32.9,32.94,32.92727273,32.95833333,33.06923077,32.97142857,32.96,32.88125,32.94117647,32.99444444,33.04210526,33,33.06666667,33.15454545,33.16086957,33.12083333,17.93285715,18.12619048,18.13964286,18.00542857,17.98666667,18.09959184,18.03214286,18.08587302,18.09471429,18.13298701,18.1177381,18.07747253,18.02489796,18.00571429,17.96901786,17.97504202,17.96476191,17.96541353,17.92885714,17.8947619,17.86363636,17.81186335,17.77172619,85.56214286,85.07809524,83.43857143,82.16057143,82.07333333,81.99877551,81.39553571,81.61253968,81.546,81.78532468,81.60738095,81.52868132,81.47255102,81.51733333,81.51419643,81.5005042,81.57095238,81.66593985,81.68264286,81.59734694,81.54564935,81.49310559,81.51642857,40,80
sj,1990,0,44,10/29/1990,0.25225,0.1834333,0.318,0.2959,101.35,299.7271429,299.7785714,296.5342857,301.4,298.5,22.26,82.78714286,101.35,18.03428571,1.785714286,27.97142857,8.642857143,33.3,22.8,6.3,57,1,228.38,371.93,423.35,454.53,505.92,649.65,714.21,743.07,784.01,816.41,907.16,935.96,968.62,985.1,1044.27,1066.54,1080.95,1100.27,1251.39,1254.87,1264.45,1271.97,1287.33,22.25,22.6,23.05,23.22,23.41666667,23.48571429,23.6,23.56666667,23.65,23.61818182,23.55,23.53076923,23.47857143,23.43333333,23.4625,23.35882353,23.41666667,23.38421053,23.355,23.35238095,23.37727273,23.4,23.39583333,32.75,32.76666667,32.9,32.98,32.95,32.92857143,33.05,33.02222222,32.94,32.97272727,32.95833333,32.98461538,33.08571429,32.99333333,32.98125,32.90588235,32.96111111,33.01052632,33.055,33.01428571,33.07727273,33.16086957,33.16666667,17.89214286,17.96666667,18.10321428,18.11857143,18.0102381,17.99346939,18.09142857,18.03238095,18.08071429,18.08922078,18.1247619,18.11131868,18.07438776,18.02552381,18.0075,17.97285714,17.97833333,17.96842105,17.96885714,17.93387755,17.9011039,17.8710559,17.82113095,84.145,84.63714286,84.50535714,83.30828571,82.265,82.17530612,82.09732143,81.55015873,81.73,81.65883117,81.86880952,81.69813187,81.61857143,81.56019048,81.59669643,81.58907563,81.57198413,81.63496241,81.722,81.7352381,81.65142857,81.59962733,81.54702381,47,94
sj,1990,0,45,11/5/1990,0.1526,0.181775,0.1783286,0.1866286,20.46,299.9728571,300.0357143,296.5642857,302.2,298.5,14.4,81.71571429,20.46,18.07428571,2.385714286,28.47142857,8.428571429,33.3,23.9,6.6,71,1,121.81,248.84,392.39,443.81,474.99,526.38,670.11,734.67,763.53,804.47,836.87,927.62,956.42,989.08,1005.56,1064.73,1087,1101.41,1120.73,1271.85,1275.33,1284.91,1292.43,23.35,22.8,22.925,23.22,23.33333333,23.48571429,23.5375,23.63333333,23.6,23.67272727,23.64166667,23.57692308,23.55714286,23.50666667,23.4625,23.48823529,23.38888889,23.44210526,23.41,23.38095238,23.37727273,23.4,23.42083333,33.3,32.93333333,32.9,32.98,33.03333333,33,32.975,33.07777778,33.05,32.97272727,33,32.98461538,33.00714286,33.1,33.0125,33,32.92777778,32.97894737,33.025,33.06666667,33.02727273,33.08695652,33.16666667,18.05428571,17.95285714,17.99357143,18.09742857,18.11119047,18.01938775,18.00357143,18.08952381,18.03657143,18.08012987,18.08797619,18.12087912,18.10867347,18.07438095,18.02857143,18.01142857,17.97849206,17.98338346,17.97371429,17.97387755,17.94025974,17.90863354,17.87952381,82.25142858,83.3352381,83.90678572,83.94742857,83.04285714,82.18653061,82.11785714,82.05492064,81.56671429,81.7287013,81.66357143,81.85703297,81.69938776,81.62504762,81.56991071,81.60369748,81.59611111,81.57954887,81.639,81.72170068,81.73435065,81.6542236,81.60446429,64,128
sj,1990,0,46,11/12/1990,0.2908,0.2246,0.1803857,0.2348857,20,300.35,300.5,295.6871429,302.3,298.8,7.1,75.72857143,20,17.08571429,2.2,27.54285714,8.6,32.8,22.2,38.9,44,0,40.46,141.81,268.84,412.39,463.81,494.99,546.38,690.11,754.67,783.53,824.47,856.87,947.62,976.42,1009.08,1025.56,1084.73,1107,1121.41,1140.73,1291.85,1295.33,1304.91,23.05,22.96666667,22.65,22.78,23.05,23.17142857,23.325,23.38888889,23.49,23.47272727,23.55,23.53076923,23.47857143,23.46666667,23.425,23.38823529,23.41666667,23.32631579,23.38,23.35238095,23.32727273,23.32608696,23.35,33.05,33.13333333,32.9,32.88,32.95,33,32.975,32.95555556,33.05,33.02727273,32.95833333,32.98461538,32.97142857,32.99333333,33.08125,33,32.98888889,32.92105263,32.97,33.01428571,33.05454545,33.0173913,33.075,17.58,17.73142857,17.73607143,17.812,17.92880952,17.96469388,17.90267857,17.9015873,17.98914286,17.95012987,17.99726191,18.01087912,18.04693878,18.04047619,18.01258929,17.97310924,17.96,17.93150376,17.9385,17.93142857,17.93350649,17.90310559,17.87434524,78.72214286,80.07714286,81.43357143,82.27114286,82.57761905,81.99795918,81.37928572,81.40793651,81.42228572,81.03597403,81.22869048,81.20703297,81.41928571,81.30133333,81.25651786,81.22630252,81.27730159,81.28729323,81.287,81.35755102,81.44928571,81.47322981,81.40732143,57.5,115
sj,1990,0,47,11/19/1990,0.2722,0.33035,0.1316333,0.1253833,20.04,299.5114286,299.6357143,295.3757143,301.6,297,36.7,78.15142857,20.04,16.75285714,2.528571429,26.8,7.414285714,31.7,22.2,9.6,56,1,40.04,60.5,161.85,288.88,432.43,483.85,515.03,566.42,710.15,774.71,803.57,844.51,876.91,967.66,996.46,1029.12,1045.6,1104.77,1127.04,1141.45,1160.77,1311.89,1315.37,22.2,22.76666667,22.775,22.56,22.68333333,22.92857143,23.05,23.2,23.27,23.37272727,23.36666667,23.44615385,23.43571429,23.39333333,23.3875,23.35294118,23.32222222,23.35263158,23.27,23.32380952,23.3,23.27826087,23.27916667,32.25,32.6,32.775,32.66,32.68333333,32.77142857,32.8375,32.83333333,32.83,32.92727273,32.91666667,32.86153846,32.89285714,32.88666667,32.9125,33,32.92777778,32.92105263,32.86,32.90952381,32.95454545,32.99565217,32.9625,16.91928572,17.30428571,17.48678571,17.53942857,17.63547619,17.76081633,17.81321429,17.77492063,17.78671428,17.87675325,17.85035714,17.90153846,17.92102041,17.96066667,17.96,17.93848739,17.90531746,17.89646617,17.87257143,17.88204082,17.87785714,17.88217391,17.85517857,76.94,78.53190476,79.59571429,80.77714286,81.58452381,81.94530612,81.51714286,81.02063492,81.08228572,81.12493507,80.79559524,80.99197802,80.98877551,81.20142857,81.10446429,81.07386555,81.05547619,81.11278195,81.1305,81.13768707,81.21181818,81.30590062,81.33482143,50,100
sj,1990,0,48,11/26/1990,0.1367667,0.216525,0.1767857,0.1415857,33.61,298.2385714,298.2642857,294.8114286,300.2,296.5,44.3,81.38571429,33.61,16.20857143,1.985714286,26.2,7.128571429,31.1,20.6,26.7,53,1,53.65,73.65,94.11,195.46,322.49,466.04,517.46,548.64,600.03,743.76,808.32,837.18,878.12,910.52,1001.27,1030.07,1062.73,1079.21,1138.38,1160.65,1175.06,1194.38,1345.5,21.4,21.66666667,22.225,22.34,22.23333333,22.38571429,22.6375,22.77777778,22.94,23.02727273,23.14166667,23.15384615,23.24285714,23.24666667,23.21875,23.22352941,23.2,23.17894737,23.215,23.14285714,23.2,23.1826087,23.16666667,31.4,31.86666667,32.225,32.44,32.4,32.45714286,32.5625,32.64444444,32.66,32.67272727,32.775,32.77692308,32.73571429,32.77333333,32.775,32.80588235,32.89444444,32.83157895,32.83,32.77619048,32.82727273,32.87391304,32.91666667,16.48071429,16.68238095,17.03035714,17.23114286,17.31761905,17.43163265,17.56678571,17.63492063,17.61828571,17.64324675,17.73773809,17.72406593,17.78061225,17.80685714,17.85116071,17.85697479,17.84238095,17.81601504,17.81207143,17.79333333,17.80597403,17.8052795,17.81244048,79.76857143,78.42190476,79.24535715,79.95371429,80.87857143,81.55612245,81.87535714,81.50253968,81.05714286,81.10987013,81.14666667,80.84098901,81.02010204,81.0152381,81.21294643,81.1210084,81.09119048,81.07285714,81.12642857,81.14265306,81.14896104,81.21937888,81.30922619,54.5,109
sj,1990,0,49,12/3/1990,0.1098,0.0886,0.2667833,0.2517,9.96,298.5428571,298.6857143,294.7828571,300.8,296.7,71.8,79.90857143,9.96,16.16142857,2.057142857,25.98571429,5.542857143,29.4,22.2,69,52,1,43.57,63.61,83.61,104.07,205.42,332.45,476,527.42,558.6,609.99,753.72,818.28,847.14,888.08,920.48,1011.23,1040.03,1072.69,1089.17,1148.34,1170.61,1185.02,1204.34,21.4,21.66666667,21.8,22.22,22.31666667,22.22857143,22.3625,22.58888889,22.72,22.87272727,22.95833333,23.06923077,23.08571429,23.17333333,23.18125,23.15882353,23.16666667,23.14736842,23.13,23.16666667,23.1,23.15652174,23.14166667,30.25,30.73333333,31.25,31.66,31.93333333,31.97142857,32.075,32.21111111,32.32,32.36363636,32.4,32.51538462,32.53571429,32.51333333,32.5625,32.57647059,32.61666667,32.71052632,32.66,32.66666667,32.62272727,32.67826087,32.72916667,16.185,16.37428571,16.55214286,16.85657143,17.05285714,17.15244898,17.27285714,17.41063492,17.48757143,17.48584416,17.5197619,17.61648352,17.61244898,17.67266667,17.70401786,17.75176471,17.76277778,17.75390977,17.73328571,17.73346939,17.71915584,17.73447205,17.73678571,80.64714286,79.8152381,78.79357143,79.378,79.94619048,80.74,81.35017857,81.6568254,81.34314286,80.95272727,81.00976191,81.05142857,80.77438776,80.946,80.94607143,81.13621849,81.05365079,81.02894737,81.01464286,81.06843537,81.08655844,81.09503106,81.1647619,52.5,105
sj,1990,0,50,12/10/1990,0.12135,0.26166,0.1913857,0.2099857,0,298.2028571,298.2785714,292.0042857,300.6,296.1,4.1,68.72285714,0,13.61571429,2.985714286,24.68571429,7.771428571,29.4,19.4,2.8,47,0,9.96,43.57,63.61,83.61,104.07,205.42,332.45,476,527.42,558.6,609.99,753.72,818.28,847.14,888.08,920.48,1011.23,1040.03,1072.69,1089.17,1148.34,1170.61,1185.02,20.8,20.73333333,21.1,21.32,21.75,21.9,21.875,22.03333333,22.27,22.41818182,22.58333333,22.68461538,22.80714286,22.84,22.9375,22.95882353,22.95,22.96842105,22.96,22.95238095,22.99545455,22.93913043,23,29.4,29.96666667,30.4,30.88,31.28333333,31.57142857,31.65,31.77777778,31.93,32.05454545,32.11666667,32.16923077,32.29285714,32.32666667,32.31875,32.37647059,32.4,32.44736842,32.545,32.5047619,32.51818182,32.4826087,32.54166667,14.88857143,15.32857143,15.68464286,15.96485714,16.31642857,16.56183673,16.71035714,16.86650794,17.03114286,17.13558442,17.16333333,17.21945055,17.33071429,17.346,17.41910714,17.46352941,17.52198413,17.54451128,17.547,17.53721088,17.5462987,17.54074534,17.56285714,74.31571429,76.67238095,77.04214286,76.77942857,77.60214286,78.34285714,79.23785714,79.94714286,80.36342857,80.19584416,79.93357143,80.06461539,80.17081633,79.97095238,80.18205357,80.22705882,80.4465873,80.40466165,80.41364286,80.42931973,80.50727273,80.54900621,80.57952381,49.5,99
